name,id,unlocked,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,sprite
Superwierd Hullmod,vass_superwierd_hullmod,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdHullmod,"A wierd hullmod.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Hullmod 2,vass_superwierd_hullmod_2,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdHullmod2,"A wierd hullmod, too.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 1,vass_superwierd_tracker_1,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 1.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 2,vass_superwierd_tracker_2,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 2.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 3,vass_superwierd_tracker_3,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 3.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 4,vass_superwierd_tracker_4,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 4.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 5,vass_superwierd_tracker_5,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 5.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 6,vass_superwierd_tracker_6,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 6.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 7,vass_superwierd_tracker_7,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 7.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 8,vass_superwierd_tracker_8,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 8.",graphics/vass/hullmods/vass_periodic_plating_accel.png
Superwierd Tracker 9,vass_superwierd_tracker_9,FALSE,0,0,0,0,data.scripts.hullmods.VassSuperwierdTracker,"The tracker in the system, this goes on the corvette. Number 9.",graphics/vass/hullmods/vass_periodic_plating_accel.png
